,871f90252ffffff,871f90254ffffff,871f9025affffff,871f902e9ffffff,871f902ecffffff,871f915b4ffffff,871f915b5ffffff,871f915b6ffffff,871f90203ffffff,871f90208ffffff,871f90209ffffff,871f9020affffff,871f9020bffffff,871f9020cffffff,871f9020dffffff,871f9020effffff,871f90219ffffff,871f90250ffffff,871f90255ffffff,871f90256ffffff,871f90272ffffff,871f90276ffffff,871f902c4ffffff,871f902c5ffffff,871f902d2ffffff,871f902e0ffffff,871f902e1ffffff,871f902e2ffffff,871f902e3ffffff,871f902e4ffffff,871f902e5ffffff,871f902e6ffffff,871f902eeffffff,871f902f5ffffff,871f90200ffffff,871f90204ffffff,871f90205ffffff,871f902f3ffffff,871f90251ffffff,871f90253ffffff,871f9025cffffff,871f9025dffffff,871f90271ffffff,871f90273ffffff,871f902d0ffffff,871f902d6ffffff,871f93925ffffff,871f90228ffffff,871f9022cffffff,871f9022effffff,871f902c0ffffff,871f9021dffffff,871f9022bffffff,871f90242ffffff,871f9024affffff,871f90258ffffff,871f9025effffff,871f90275ffffff,871f902e8ffffff,871f902edffffff,871f90346ffffff,871f9024cffffff,871f90240ffffff,871f90243ffffff,871f90246ffffff,871f902ccffffff,871f902ebffffff,871f915b2ffffff,871f90229ffffff,871f9022affffff,871f90249ffffff,871f90241ffffff,871f90248ffffff,871f9024bffffff,871f9025bffffff,871f915a4ffffff,871f93924ffffff,871f9024effffff,871f90352ffffff,871f90221ffffff,871f90223ffffff,871f90344ffffff,871f90262ffffff,871f90270ffffff,871f9035bffffff,871f90201ffffff,871f9392cffffff,871f90202ffffff,871f90244ffffff,871f902c6ffffff,871f902cdffffff,871f9035dffffff,871f90274ffffff,871f90358ffffff,871f915b0ffffff,871f90263ffffff,871f90343ffffff,871f9034affffff,871f90259ffffff,871f902f1ffffff,871f90350ffffff,871f902c2ffffff,871f90342ffffff,871f9034effffff,871f90264ffffff,871f9035effffff,871f90266ffffff,871f902eaffffff,871f90359ffffff,871f9035affffff,871f9022dffffff,871f902d5ffffff,871f9035cffffff
871f90270ffffff,6,58,0,0,5,0,0,0,0,10,39,0,0,0,27,0,0,15,17,14,88,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,4,0,57,39,0,0,0,0,0,0,0,0,14,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,307,9,0,0,0,14,0,0,6,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f915b4ffffff,10,5,27,44,19,151,9,51,0,0,8,0,0,0,0,0,0,5,4,5,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,12,7,14,5,0,0,0,0,0,0,0,0,0,0,0,0,7,18,7,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f90272ffffff,13,232,0,0,14,0,0,0,0,24,217,5,22,19,92,10,0,38,51,71,816,32,0,4,0,0,0,0,0,8,28,0,0,0,0,0,5,0,40,14,9,7,30,43,0,0,0,0,0,0,0,0,0,18,7,0,7,21,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,91,11,0,0,0,9,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f9025effffff,16,36,19,17,33,13,0,19,0,0,18,0,12,0,0,0,0,43,25,26,5,0,0,0,0,12,16,0,0,0,6,0,7,0,0,0,0,0,112,77,99,44,0,0,0,0,0,0,0,0,0,0,0,48,13,17,497,0,8,79,0,0,11,17,5,0,11,0,0,0,0,0,0,6,6,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f90271ffffff,13,53,0,4,0,0,0,0,0,0,9,0,11,0,7,0,0,6,9,9,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,0,175,18,0,0,0,0,0,0,0,0,0,4,0,0,0,60,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,57,7,0,0,0,80,0,0,13,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f902eeffffff,54,17,0,29,151,4,0,17,0,0,12,0,8,0,0,0,0,20,0,10,0,0,0,33,0,8,85,0,0,4,10,0,569,0,0,0,0,0,31,0,12,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,0,58,17,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f9020dffffff,22,147,0,0,27,0,0,0,13,122,293,14,49,48,964,22,0,39,35,140,83,130,0,0,0,5,7,0,0,13,21,0,0,0,0,0,19,0,28,13,10,7,5,8,0,0,0,42,6,0,0,0,93,0,7,0,5,0,0,0,7,0,0,0,0,0,0,0,12,29,0,0,0,0,0,0,0,0,0,0,0,0,7,24,10,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f902e1ffffff,75,39,0,4,82,0,0,8,0,0,15,0,7,0,7,0,0,24,13,31,0,0,0,10,0,10,319,0,15,11,52,0,100,5,0,0,0,0,20,15,6,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,25,0,12,13,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f90256ffffff,359,667,16,23,87,0,0,8,7,67,551,10,251,15,144,20,0,301,104,2319,68,9,0,7,0,27,41,12,8,59,280,10,17,4,0,9,6,0,48,36,22,25,0,28,0,0,0,11,6,0,0,0,13,23,16,0,21,0,15,26,0,0,5,5,5,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f90242ffffff,13,28,7,0,12,6,0,11,0,8,12,0,11,0,10,6,0,40,70,32,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,13,68,23,7,6,0,0,0,0,0,0,0,0,0,317,16,0,51,0,0,24,0,0,44,25,45,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
